epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07684,1.55158,3.50028,1.0507,0.00363,0.97059,0.01555,0.00843,1.11869,3.69055,0.92017,0.00030006,0.00030006,0.00030006
2,5.62535,1.46153,2.181,1.02808,0.00363,0.97059,0.00961,0.00496,1.21372,3.48845,0.93781,0.000604578,0.000604578,0.000604578
3,7.71886,1.34711,1.69545,1.01397,0.00366,0.97647,0.09231,0.04944,1.09298,3.27487,0.91658,0.000896553,0.000896553,0.000896553
4,9.81435,1.33094,1.57071,1.02159,1,0.10922,0.67315,0.46972,1.14176,2.62437,0.95947,0.00117599,0.00117599,0.00117599
5,11.7107,1.2973,1.41884,1.00152,0.87042,0.54449,0.84504,0.55689,1.19125,1.98381,0.97126,0.00144288,0.00144288,0.00144288
6,13.7207,1.28902,1.31,0.97901,0.89302,0.79384,0.89076,0.58169,1.12479,1.72113,0.95975,0.00150197,0.00150197,0.00150197
7,15.6939,1.1964,1.19105,0.97275,0.85159,0.86281,0.87613,0.63801,1.1104,1.41037,0.95221,0.00146896,0.00146896,0.00146896
8,17.6737,1.18621,1.16051,0.9637,0.90932,0.85854,0.89122,0.66211,1.04444,1.41708,0.93903,0.00143595,0.00143595,0.00143595
9,19.7016,1.11239,1.01878,0.93196,0.90721,0.83501,0.89337,0.64926,1.02018,1.10978,0.90592,0.00140295,0.00140295,0.00140295
10,21.6562,1.10317,1.07222,0.96185,0.92962,0.85275,0.90847,0.66312,1.02299,1.131,0.91373,0.00136994,0.00136994,0.00136994
11,23.7755,1.10673,1.02807,0.958,0.85379,0.88338,0.91416,0.66807,1.03449,0.93529,0.91658,0.00133693,0.00133693,0.00133693
12,25.7999,1.05775,0.96194,0.93298,0.90173,0.87619,0.93099,0.68027,0.98217,0.76586,0.90954,0.00130393,0.00130393,0.00130393
13,27.7993,1.0791,0.9982,0.92995,0.93006,0.85854,0.92909,0.68686,0.94482,0.75403,0.89118,0.00127092,0.00127092,0.00127092
14,30.1442,1.02713,0.94012,0.92366,0.86186,0.87166,0.89087,0.61286,1.11714,1.0359,0.94837,0.00123791,0.00123791,0.00123791
15,32.4243,1.07806,0.92838,0.9309,0.93653,0.88207,0.93329,0.71049,0.94288,0.72488,0.89833,0.00120491,0.00120491,0.00120491
16,34.6746,1.05448,0.90574,0.91619,0.94455,0.89384,0.93883,0.70531,0.98986,0.71118,0.90475,0.0011719,0.0011719,0.0011719
17,36.6315,1.04807,0.87095,0.92754,0.8915,0.91539,0.93229,0.70382,0.93512,0.67381,0.89162,0.00113889,0.00113889,0.00113889
18,38.5184,1.00296,0.8963,0.92169,0.92807,0.89972,0.92554,0.69377,0.95143,0.7302,0.89211,0.00110589,0.00110589,0.00110589
19,40.5043,1.03869,0.87135,0.91967,0.92208,0.90874,0.9252,0.68074,0.98501,0.75872,0.89919,0.00107288,0.00107288,0.00107288
20,42.4268,1.01744,0.84249,0.92148,0.92043,0.90354,0.91432,0.68972,0.97674,0.74858,0.89344,0.00103987,0.00103987,0.00103987
21,44.4213,0.97938,0.82053,0.90504,0.91088,0.90628,0.92344,0.71283,0.91449,0.69204,0.88694,0.00100687,0.00100687,0.00100687
22,46.3337,0.9892,0.77446,0.9015,0.91921,0.88796,0.92767,0.71134,0.9201,0.64793,0.87471,0.000973861,0.000973861,0.000973861
23,48.2809,1.01526,0.79709,0.92825,0.93155,0.89972,0.93453,0.7337,0.87756,0.6952,0.86723,0.000940855,0.000940855,0.000940855
24,50.3543,0.92716,0.74539,0.89136,0.92991,0.89972,0.93516,0.72027,0.92692,0.65375,0.88335,0.000907848,0.000907848,0.000907848
25,52.3688,1.00519,0.75271,0.91685,0.92295,0.88207,0.92553,0.72944,0.8673,0.70684,0.86557,0.000874842,0.000874842,0.000874842
26,54.7045,0.95661,0.73934,0.89954,0.96151,0.87619,0.9354,0.7241,0.86555,0.63223,0.86984,0.000841835,0.000841835,0.000841835
27,56.7324,0.92933,0.69833,0.90121,0.91709,0.85622,0.9238,0.71075,0.90439,0.79704,0.88294,0.000808828,0.000808828,0.000808828
28,58.8057,0.93018,0.73013,0.9044,0.94502,0.8953,0.93928,0.74155,0.84339,0.62064,0.86293,0.000775822,0.000775822,0.000775822
29,60.8619,0.92101,0.70634,0.88963,0.94806,0.89972,0.9344,0.7436,0.86217,0.63166,0.87181,0.000742815,0.000742815,0.000742815
30,62.9232,0.90457,0.66314,0.87005,0.9524,0.89972,0.93332,0.74564,0.83547,0.66755,0.86795,0.000709809,0.000709809,0.000709809
31,65.1388,0.88542,0.65658,0.89399,0.91366,0.91125,0.93898,0.72204,0.905,0.62303,0.87804,0.000676802,0.000676802,0.000676802
32,67.1551,0.90389,0.68451,0.88593,0.95708,0.89972,0.94865,0.75237,0.81342,0.57339,0.85832,0.000643795,0.000643795,0.000643795
33,69.1974,0.87261,0.64983,0.8806,0.93091,0.9056,0.94506,0.7405,0.825,0.56869,0.85818,0.000610789,0.000610789,0.000610789
34,71.132,0.88944,0.66145,0.8812,0.93467,0.89972,0.94899,0.73372,0.84352,0.57595,0.86601,0.000577782,0.000577782,0.000577782
35,73.026,0.85363,0.70321,0.87335,0.93884,0.89972,0.94305,0.74959,0.86599,0.59237,0.86239,0.000544776,0.000544776,0.000544776
36,75.0469,0.86437,0.61851,0.87491,0.9491,0.89972,0.94907,0.74526,0.84781,0.60673,0.86628,0.000511769,0.000511769,0.000511769
37,76.9315,0.82945,0.6085,0.8724,0.92988,0.89347,0.93632,0.73192,0.83739,0.62435,0.86095,0.000478762,0.000478762,0.000478762
38,78.9666,0.85386,0.61369,0.87149,0.95483,0.89384,0.94101,0.74984,0.82751,0.56258,0.85723,0.000445756,0.000445756,0.000445756
39,80.8687,0.82826,0.62657,0.87208,0.95528,0.89704,0.93454,0.75132,0.81478,0.55606,0.85838,0.000412749,0.000412749,0.000412749
40,82.7661,0.85551,0.61896,0.87686,0.9495,0.89972,0.93166,0.72801,0.88634,0.57933,0.87381,0.000379743,0.000379743,0.000379743
41,104.392,0.74235,0.56752,0.86999,0.92674,0.89972,0.93689,0.74174,0.86143,0.5854,0.87261,0.000346736,0.000346736,0.000346736
42,106.425,0.75454,0.55101,0.87474,0.95367,0.89605,0.94281,0.74353,0.85141,0.57026,0.86862,0.000313729,0.000313729,0.000313729
43,108.378,0.72912,0.5414,0.86573,0.96385,0.87723,0.9373,0.74167,0.85107,0.59883,0.86675,0.000280723,0.000280723,0.000280723
44,110.434,0.74857,0.546,0.85645,0.9547,0.89384,0.93345,0.75004,0.83966,0.56937,0.86178,0.000247716,0.000247716,0.000247716
45,112.338,0.73979,0.53116,0.853,0.95875,0.8973,0.9343,0.746,0.83483,0.56488,0.86087,0.00021471,0.00021471,0.00021471
46,114.37,0.7132,0.55322,0.85001,0.95751,0.89858,0.93798,0.75651,0.82751,0.55947,0.85851,0.000181703,0.000181703,0.000181703
47,116.246,0.73075,0.52501,0.86378,0.95711,0.88268,0.93615,0.76031,0.81414,0.5726,0.85602,0.000148696,0.000148696,0.000148696
48,118.145,0.70251,0.51591,0.85189,0.96619,0.8902,0.93936,0.77133,0.79501,0.53851,0.85512,0.00011569,0.00011569,0.00011569
49,120.123,0.6988,0.50074,0.85202,0.92266,0.92913,0.93967,0.77275,0.79119,0.53509,0.85477,8.26832e-05,8.26832e-05,8.26832e-05
50,122.049,0.69301,0.50378,0.83925,0.92047,0.92539,0.94007,0.7705,0.79338,0.53549,0.85336,4.96766e-05,4.96766e-05,4.96766e-05
