epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63606,1.06606,3.45885,1.1165,0.00351,0.94706,0.41983,0.23463,1.10498,3.3382,0.94584,0.00030006,0.00030006,0.00030006
2,6.71802,0.99466,2.27409,1.0511,0.00323,0.87031,0.15371,0.09809,0.80062,3.23821,0.93392,0.000604578,0.000604578,0.000604578
3,9.64928,0.91753,1.98352,1.02919,0.0037,0.97059,0.89441,0.68957,0.80666,2.75641,0.97988,0.000896553,0.000896553,0.000896553
4,12.5463,0.91758,2.00024,1.06256,0.94739,0.48727,0.87904,0.65369,0.86431,2.15414,1.00488,0.00117599,0.00117599,0.00117599
5,15.4935,0.95657,1.70681,1.04224,0.94023,0.7113,0.90777,0.69085,0.84054,2.02161,1.0563,0.00144288,0.00144288,0.00144288
6,18.2542,0.90801,1.56094,1.01879,0.44747,0.7679,0.67659,0.5201,0.90091,2.29955,1.02691,0.00150197,0.00150197,0.00150197
7,21.1426,0.90155,1.54483,1.02312,0.87636,0.81363,0.87192,0.69659,0.85245,1.93513,1.0465,0.00146896,0.00146896,0.00146896
8,24.0094,0.84745,1.36484,1.0007,0.93712,0.87003,0.91722,0.74445,0.77596,1.11071,0.96693,0.00143595,0.00143595,0.00143595
9,26.9443,0.82973,1.24265,0.9752,0.88849,0.77768,0.88801,0.72164,0.77375,1.18759,0.98004,0.00140295,0.00140295,0.00140295
10,29.7175,0.79297,1.25575,0.98967,0.88114,0.74678,0.80588,0.64875,0.91143,1.8186,1.04163,0.00136994,0.00136994,0.00136994
11,32.5103,0.77216,1.11726,0.97561,0.9316,0.87031,0.90914,0.75309,0.73552,1.2689,0.95814,0.00133693,0.00133693,0.00133693
12,35.2261,0.7411,1.06311,0.96504,0.87557,0.7798,0.87648,0.70991,0.74212,1.25652,0.97616,0.00130393,0.00130393,0.00130393
13,37.9327,0.79142,1.04228,0.96663,0.87212,0.90051,0.91736,0.75871,0.75192,1.11496,0.97011,0.00127092,0.00127092,0.00127092
14,40.7648,0.77017,0.9847,0.96888,0.8643,0.91248,0.91141,0.76528,0.68419,0.83347,0.92011,0.00123791,0.00123791,0.00123791
15,43.5294,0.75623,0.89108,0.94775,0.91125,0.88411,0.92129,0.77904,0.66271,0.75682,0.91562,0.00120491,0.00120491,0.00120491
16,46.3452,0.71986,0.88005,0.94239,0.94202,0.85854,0.92256,0.78542,0.68655,0.77762,0.92083,0.0011719,0.0011719,0.0011719
17,49.1394,0.74949,0.85272,0.9497,0.94216,0.89972,0.93086,0.79114,0.6583,0.71177,0.91703,0.00113889,0.00113889,0.00113889
18,51.9828,0.71258,0.89201,0.94899,0.90997,0.88798,0.91957,0.76719,0.70155,0.7078,0.96001,0.00110589,0.00110589,0.00110589
19,54.6804,0.71591,0.82114,0.94774,0.87544,0.89457,0.91089,0.7852,0.6771,0.78419,0.9301,0.00107288,0.00107288,0.00107288
20,57.4827,0.73626,0.79743,0.96857,0.88673,0.89972,0.90735,0.78196,0.66855,0.76483,0.92155,0.00103987,0.00103987,0.00103987
21,60.2116,0.70763,0.74064,0.93901,0.8686,0.86443,0.86718,0.74689,0.6871,1.0122,0.93886,0.00100687,0.00100687,0.00100687
22,63.0231,0.70227,0.72946,0.93997,0.91926,0.90225,0.91794,0.79483,0.64853,0.69776,0.90933,0.000973861,0.000973861,0.000973861
23,65.8799,0.68495,0.73186,0.93907,0.91172,0.8979,0.92092,0.78906,0.6707,0.65772,0.9223,0.000940855,0.000940855,0.000940855
24,68.6496,0.65926,0.67485,0.91453,0.92945,0.90116,0.93139,0.81308,0.63406,0.59916,0.90941,0.000907848,0.000907848,0.000907848
25,71.4577,0.67849,0.69818,0.93114,0.95933,0.87619,0.92776,0.80128,0.65775,0.62601,0.92215,0.000874842,0.000874842,0.000874842
26,74.2641,0.65992,0.64757,0.91385,0.95724,0.88796,0.94107,0.80379,0.64421,0.58233,0.92674,0.000841835,0.000841835,0.000841835
27,77.1663,0.68126,0.6314,0.92932,0.97312,0.85854,0.93606,0.80975,0.64586,0.58835,0.92241,0.000808828,0.000808828,0.000808828
28,79.9374,0.66576,0.61996,0.92301,0.90799,0.9056,0.93025,0.79715,0.64479,0.6166,0.92366,0.000775822,0.000775822,0.000775822
29,82.7402,0.6477,0.6227,0.91404,0.92094,0.91491,0.92838,0.78837,0.63512,0.58832,0.91748,0.000742815,0.000742815,0.000742815
30,85.6365,0.63194,0.60098,0.90496,0.94192,0.91737,0.93596,0.80029,0.64981,0.59754,0.92043,0.000709809,0.000709809,0.000709809
31,88.3996,0.64003,0.5825,0.91481,0.96499,0.85707,0.9398,0.81347,0.65378,0.63682,0.91644,0.000676802,0.000676802,0.000676802
32,91.2266,0.63533,0.60668,0.91665,0.92478,0.91433,0.94804,0.82763,0.6273,0.54777,0.9137,0.000643795,0.000643795,0.000643795
33,93.9123,0.61659,0.60334,0.91223,0.95667,0.88207,0.94484,0.81973,0.63126,0.57817,0.91914,0.000610789,0.000610789,0.000610789
34,96.7621,0.62607,0.5712,0.90683,0.95049,0.9056,0.95348,0.8242,0.61015,0.52382,0.91363,0.000577782,0.000577782,0.000577782
35,99.5021,0.63173,0.61637,0.91688,0.97188,0.88432,0.94958,0.81977,0.63215,0.57689,0.9178,0.000544776,0.000544776,0.000544776
36,102.312,0.58852,0.54021,0.89073,0.93482,0.9093,0.95367,0.82499,0.62486,0.54729,0.9116,0.000511769,0.000511769,0.000511769
37,104.991,0.57437,0.49921,0.89373,0.93636,0.88878,0.94352,0.81844,0.6344,0.60311,0.90207,0.000478762,0.000478762,0.000478762
38,107.781,0.6134,0.53107,0.89757,0.96434,0.88207,0.94963,0.83283,0.58515,0.54261,0.88806,0.000445756,0.000445756,0.000445756
39,110.74,0.60911,0.52528,0.89394,0.97449,0.8814,0.95129,0.83342,0.59714,0.52734,0.88747,0.000412749,0.000412749,0.000412749
40,113.481,0.56259,0.51811,0.89375,0.98048,0.87574,0.96022,0.83491,0.6027,0.51059,0.88569,0.000379743,0.000379743,0.000379743
41,135.848,0.53972,0.49171,0.87722,0.94502,0.89476,0.9517,0.82878,0.60449,0.52643,0.88919,0.000346736,0.000346736,0.000346736
42,138.711,0.51651,0.46526,0.8824,0.97259,0.89768,0.95319,0.83516,0.61845,0.53125,0.90627,0.000313729,0.000313729,0.000313729
43,141.596,0.52454,0.45439,0.87746,0.96792,0.9056,0.95074,0.8404,0.60789,0.52709,0.90153,0.000280723,0.000280723,0.000280723
44,144.29,0.51691,0.46258,0.87507,0.96866,0.91148,0.9537,0.83745,0.5984,0.49295,0.8938,0.000247716,0.000247716,0.000247716
45,147.141,0.50691,0.43723,0.84897,0.9511,0.91737,0.95219,0.84591,0.57409,0.48748,0.885,0.00021471,0.00021471,0.00021471
46,149.943,0.50115,0.43861,0.86823,0.9222,0.91138,0.94599,0.8357,0.57431,0.51941,0.88201,0.000181703,0.000181703,0.000181703
47,152.69,0.5111,0.44448,0.86732,0.96303,0.87619,0.94663,0.82316,0.58165,0.51375,0.88592,0.000148696,0.000148696,0.000148696
48,155.439,0.52685,0.4371,0.87078,0.96563,0.89384,0.95071,0.83923,0.56979,0.48608,0.88677,0.00011569,0.00011569,0.00011569
49,158.208,0.47755,0.41249,0.86492,0.9683,0.89972,0.94988,0.8435,0.57094,0.48643,0.88749,8.26832e-05,8.26832e-05,8.26832e-05
50,161.027,0.47693,0.40243,0.84624,0.96692,0.89972,0.94962,0.83673,0.5783,0.4916,0.89016,4.96766e-05,4.96766e-05,4.96766e-05
